nohup: ignoring input
System check identified some issues:

WARNINGS:
?: (debug_toolbar.W007) JavaScript files are resolving to the wrong content type.
	HINT: The Django Debug Toolbar may not load properly while mimetypes are misconfigured. See the Django documentation for an explanation of why this occurs.
https://docs.djangoproject.com/en/stable/ref/contrib/staticfiles/#static-file-development-view

This typically occurs on Windows machines. The suggested solution is to modify HKEY_CLASSES_ROOT in the registry to specify the content type for JavaScript files.

[HKEY_CLASSES_ROOT\.js]
"Content Type"="application/javascript"
[2026-05-12 17:52:33,936] INFO apps.performances.kopis.client [KOPIS] venues list: page=1
[2026-05-12 17:52:34,469] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002078
[2026-05-12 17:52:34,939] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: (구) 송정초등학교 야외운동장 (FC002078)
[2026-05-12 17:52:34,940] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004472
[2026-05-12 17:52:35,281] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: (구)화남산업 (FC004472)
[2026-05-12 17:52:35,281] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000175
[2026-05-12 17:52:35,630] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: (재) 영화의전당 (FC000175)
[2026-05-12 17:52:35,630] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001672
[2026-05-12 17:52:35,980] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: (재)경기문화재단 (FC001672)
[2026-05-12 17:52:35,980] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000534
[2026-05-12 17:52:36,325] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: (재)구리시청소년수련관 (FC000534)
[2026-05-12 17:52:36,325] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002093
[2026-05-12 17:52:36,677] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: (재)정효문화재단 (FC002093)
[2026-05-12 17:52:36,677] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003668
[2026-05-12 17:52:37,024] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 13블럭 소극장 (FC003668)
[2026-05-12 17:52:37,025] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002651
[2026-05-12 17:52:37,359] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 1M SPACE (폐관) (FC002651)
[2026-05-12 17:52:37,359] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001419
[2026-05-12 17:52:37,709] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 1m클래식아트홀 (FC001419)
[2026-05-12 17:52:37,709] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003142
[2026-05-12 17:52:38,056] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 1미터마술 (FC003142)
[2026-05-12 17:52:38,056] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003974
[2026-05-12 17:52:38,401] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 1유로 프로젝트 코끼리빌라 (FC003974)
[2026-05-12 17:52:38,401] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003153
[2026-05-12 17:52:38,743] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 2.28기념중앙공원 (FC003153)
[2026-05-12 17:52:38,743] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001940
[2026-05-12 17:52:39,090] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 2001 아울렛키즈홀 [구로] (FC001940)
